"task","word_1","word_2","correct","error_position_syllable_word_2","error_position_word_2","inflection_type_word_2","syllable","conj_form","word_frequency_word_2","CV_word_1","CV_word_2","stim1","stim2","condition","stim1_correct","is_null","isi"
"declination","la","fenêtres",0,"na","na",2,2,"na",90.55,"CVVCVC","CVCCCVCC","la","fenêtres","noun-false",0,0,500
"declination","le","sifflet",1,"na","na",2,2,"na",4.61,"VCCC","CCVCVC","le","sifflet","noun-true",1,0,500
"conjugation","vous","lisez",1,"0","0",1,1,"2_ps_plr",281.09,"VCC","CVCC","vous","lisez","verb-true",1,0,500
"conjugation","je","viennent",0,"2","1",1,1,"1_ps_sgl",2763.82,"VCC","CVCCV","je","viennent","verb-false",0,0,500
"conjugation","je","cuisine",1,"0","0",1,2,"1_ps_sgl",87.92,"VCC","CVCCV","je","cuisine","verb-true",1,0,500
"conjugation","vous","payez",1,"0","0",1,1,"2_ps_plr",416.68,"VCC","CVCCCC","vous","payez","verb-true",1,0,500
"declination","le","clou",1,"na","na",2,2,"na",13.83,"CVVC","CVCVC","le","clou","noun-true",1,0,500
"declination","les","tunnel",0,"na","na",2,2,"na",19.24,"CVVCV","CVVCV","les","tunnel","noun-false",0,0,500
"declination","les","bateau",0,"na","na",2,2,"na",124.82,"CVCCCV","CVCCVCC","les","bateau","noun-false",0,0,500
"conjugation","nous","dorment",0,"1","2",1,2,"1_ps_plr",392.09,"CVC","CCCCVCVC","nous","dorment","verb-false",0,0,500
"declination","les","livres",1,"na","na",2,2,"na",198.11,"CVCCCV","CVVCVC","les","livres","noun-true",1,0,500
"declination","une","photo",1,"na","na",2,2,"na",209.1,"CVCC","CVCVC","une","photo","noun-true",1,0,500
"conjugation","je","vont",0,"2","3",1,2,"1_ps_sgl",9992.77,"VCC","CVCV","je","vont","verb-false",0,0,500
"declination","des","oiseaux",1,"na","na",2,2,"na",77.73,"VCCV","CCVVCV","des","oiseaux","noun-true",1,0,500
"conjugation","tu","portes",1,"0","0",1,1,"2_ps_sgl",319.98,"CV","CCVCCC","tu","portes","verb-true",1,0,500
"declination","une","voiture",1,"na","na",2,2,"na",429.4,"CVVC ","VVCVC","une","voiture","noun-true",1,0,500
"declination","des","jardin",0,"na","na",2,2,"na",60.21,"VCCV","CVCV","des","jardin","noun-false",0,0,500
"conjugation","je","court",0,"1","2",1,2,"1_ps_sgl",146.5,"VCC","CVVCV","je","court","verb-false",0,0,500
"declination","des","ceintures",1,"na","na",2,2,"na",22.57,"CVVCV","CVCCVCC","des","ceintures","noun-true",1,0,500
"declination","la","banane",0,"na","na",2,2,"na",11.14,"CVCCC","CVCCVCC","la","banane","noun-false",0,0,500
"conjugation","tu","fais",1,"0","0",1,1,"2_ps_sgl",8813.48,"CV","CVCCCC","tu","fais","verb-true",1,0,500
"conjugation","vous","lis",0,"1","2",1,1,"2_ps_plr",281.09,"VCC","CVVCC","vous","lis","verb-false",0,0,500
"declination","le","rires",0,"na","na",2,2,"na",38.88,"VCCC","CVCCVCC","le","rires","noun-false",0,0,500
"declination","un","verres",0,"na","na",2,2,"na",176.57,"CCVV","CCVCV","un","verres","noun-false",0,0,500
"conjugation","nous","peignons",1,"0","0",1,2,"1_ps_plr",36.05,"CVC","CVCVC","nous","peignons","verb-true",1,0,500
"conjugation","tu","vis",1,"0","0",1,1,"2_ps_sgl",510.19,"CV","CVCCCC","tu","vis","verb-true",1,0,500
"conjugation","je","cuisines",0,"1","2",1,2,"1_ps_sgl",87.92,"VCC","CVCCV","je","cuisines","verb-false",0,0,500
"conjugation","tu","prennent",0,"1","2",1,1,"2_ps_sgl",1913.83,"CV","CVCCCC","tu","prennent","verb-false",0,0,500
"conjugation","nous","nagez",0,"1","3",1,1,"1_ps_plr",30.36,"CVC","CCCCVCCCC","nous","nagez","verb-false",0,0,500
"declination","un","jeu",1,"na","na",2,2,"na",190.44,"CCVV","CCVVCV","un","jeu","noun-true",1,0,500
"declination","une","fleurs",0,"na","na",2,1,"na",99.75,"CVVC","CCVCCC","une","fleurs","noun-false",0,0,500
"declination","des","pneus",1,"na","na",2,2,"na",13.44,"VCCV","CVCCVCC","des","pneus","noun-true",1,0,500
"declination","la","question",1,"na","na",2,2,"na",411.82,"CVCCC","CCVVCVCC","la","question","noun-true",1,0,500
"declination","des","cinéma",0,"na","na",2,2,"na",63.49,"CVVCV","CVCV","des","cinéma","noun-false",0,0,500
"declination","un","mot",1,"na","na",2,2,"na",279.55,"CCVV","CVCCV","un","mot","noun-true",1,0,500
"conjugation","je","viens",1,"0","0",1,2,"1_ps_sgl",2763.82,"VCC","CVCCV","je","viens","verb-true",1,0,500
"declination","le","sacs",0,"na","na",2,2,"na",124.6,"CVVC","CVCCV","le","sacs","noun-false",0,0,500
"declination","des","rat",0,"na","na",2,2,"na",45.6,"CVVCV","CVCCV","des","rat","noun-false",0,0,500
"declination","une","images",0,"na","na",2,2,"na",82.13,"CVCC","CVCCVCC","une","images","noun-false",0,0,500
"conjugation","nous","nageons",1,"0","0",1,2,"1_ps_plr",30.36,"CVC","CCCCVCCVC","nous","nageons","verb-true",1,0,500
"conjugation","tu","prends",1,"0","0",1,1,"2_ps_sgl",1913.83,"CV","CVCCCC","tu","prends","verb-true",1,0,500
"declination","un","pots",0,"na","na",2,2,"na",29.89,"CCVV","CVCV","un","pots","noun-false",0,0,500
"conjugation","vous","riez",1,"0","0",1,1,"2_ps_plr",140.24,"VCC","CCVCCC","vous","riez","verb-true",1,0,500
"declination","les","nouilles",1,"na","na",2,2,"na",4.37,"CVVCV","CVCCVC ","les","nouilles","noun-true",1,0,500
"conjugation","je","cours",1,"0","0",1,2,"1_ps_sgl",146.5,"VCC","CVVCV","je","cours","verb-true",1,0,500
"conjugation","vous","rions",0,"1","3",1,1,"2_ps_plr",140.24,"VCC","CCVCCC","vous","rions","verb-false",0,0,500
"conjugation","nous","mange",0,"1","2",1,1,"1_ps_plr",467.82,"CVC","VCCC","nous","mange","verb-false",0,0,500
